high,timestamp,volume,low,close,open
29199.40,1609484880,31.55901733,29053.57,29093.59,29199.31
29117.59,1609484940,6.47567779,29078.42,29107.82,29078.42
29106.45,1609485000,55.04345423,28896.66,28996.91,29106.45
29048.00,1609485060,2.74645825,28977.40,29048.00,28977.43
29060.18,1609485120,3.06175506,29026.53,29030.98,29048.01
29055.29,1609485180,0.73030657,29032.67,29055.29,29052.97
29055.28,1609485240,18.87648320,28973.58,29002.09,29055.28
29048.91,1609485300,1.15434506,28986.87,29048.91,29006.04
29049.60,1609485360,0.82116757,29009.60,29022.70,29020.85
29086.90,1609485420,3.11412992,29049.61,29086.90,29049.61
29113.18,1609485480,7.65692659,29078.35,29099.89,29086.90
29089.68,1609485540,8.73056306,29066.13,29088.53,29081.99
29100.01,1609485600,8.71199268,29047.69,29070.18,29090.05
29081.91,1609485660,5.83351348,29050.89,29063.56,29070.18
29092.98,1609485720,4.38768722,29063.56,29077.51,29080.44
29101.47,1609485780,3.60763999,29063.77,29066.88,29079.69
29101.48,1609485840,0.22935110,29083.02,29101.48,29084.48
